college_id,college_name,status,home_university
3184,Fr. Conceicao Rodrigues College Of Engineering Bandra Mumbai,Un-Aided Autonomous Religious Minority - Christian,Autonomous Institute
3185,Vivekanand Education Society S Institute Of Technology Chembur Mumbai,Un-Aided Autonomous Linguistic Minority - Sindhi,Autonomous Institute
3187,N.Y.S.S. S Datta Meghe College Of Engineering Airoli Navi Mumbai,Un-Aided,Mumbai University
3188,Vasantdada Patil Pratishthan S College Of Engineering And Visual Arts Sion Mumbai,Un-Aided,Mumbai University
3189,Bharati Vidyapeeth College Of Engineering Navi Mumbai,Un-Aided,Mumbai University
3190,Terna Engineering College Nerul Navi Mumbai,Un-Aided,Mumbai University
3192,Smt. Indira Gandhi College Of Engineering Navi Mumbai,Un-Aided,Mumbai University
3193,Shivajirao S. Jondhale College Of Engineering Dombivali Mumbai,Un-Aided,Mumbai University
3194,Vidyavardhini S College Of Engineering And Technology Vasai,Un-Aided,Mumbai University
3196,Lokmanya Tilak College Of Engineering Kopar Khairane Navi Mumbai,Un-Aided Linguistic Minority - Hindi,Mumbai University
3197,Agnel Charities Fr. C. Rodrigues Institute Of Technology Vashi Navi Mumbai,Un-Aided Autonomous Religious Minority - Christian,Autonomous Institute
3198,Konkan Gyanpeeth College Of Engineering Karjat,Un-Aided,Mumbai University
3199,Shri Vile Parle Kelvani Mandal S Dwarkadas J. Sanghvi College Of Engineering Vile Parle Mumbai,Un-Aided Autonomous Linguistic Minority - Gujarathi,Autonomous Institute
3200,Hope Foundation And Research Center S Finolex Academy Of Management And Technology Ratnagiri,Un-Aided,Mumbai University
3201,Rizvi Education Society S Rizvi College Of Engineering Bandra Mumbai,Un-Aided Religious Minority - Muslim,Mumbai University
3202,Rajendra Mane College Of Engineering Technology Ambav Deorukh,Un-Aided,Mumbai University
3203,Atharva College Of Engineering Malad(West) Mumbai,Un-Aided,Mumbai University
3204,St. Francis Institute Of Technology Borivali Mumbai,Un-Aided Religious Minority - Christian,Mumbai University
3206,S.S.P.M. S College Of Engineering Kankavli,Un-Aided,Mumbai University
3207,Mahatma Education Society S Pillai College Of Engineering New Panvel,Un-Aided Autonomous Linguistic Minority - Malyalam,Autonomous Institute
3208,Don Bosco Institute Of Technology Mumbai,Un-Aided Religious Minority - Roman Catholics,Mumbai University
3209,K J Somaiya Institute Of Technology,Un-Aided Autonomous Linguistic Minority - Gujarathi,Autonomous Institute
3210,Excelsior Education Society S K.C. College Of Engineering And Management Studies And Research Kopri Thane (E),Un-Aided Linguistic Minority - Punjabi,Mumbai University
3211,S.I.E.S. Graduate School Of Technology Nerul Navi Mumbai,Un-Aided Autonomous Linguistic Minority - Tamil,Autonomous Institute
3212,Watumull Institute Of Engineering Technology Ulhasnagar,Un-Aided Linguistic Minority - Sindhi,Mumbai University
3214,Xavier Institute Of Engineering C O Xavier Technical Institute Mahim Mumbai,Un-Aided Religious Minority - Christian,Mumbai University
3215,Bhartiya Vidya Bhavan S Sardar Patel Institute Of Technology Andheri Mumbai,Un-Aided Autonomous,Autonomous Institute
3216,Gharda Foundation S Gharda Institute Of Technology Khed Ratnagiri,Un-Aided,Mumbai University
3217,Vighnaharata Trust S Shivajirao S. Jondhale College Of Engineering Technology Shahapur Asangaon Dist Thane,Un-Aided,Mumbai University
3218,Aldel Education Trust S St. John College Of Engineering Management Vevoor Palghar,Un-Aided Autonomous Religious Minority - Christian,Autonomous Institute
3219,Koti Vidya Charitable Trust S Smt. Alamuri Ratnamala Institute Of Engineering And Technology Sapgaon Tal. Shahapur,Un-Aided Linguistic Minority - Hindi,Mumbai University
3220,Yadavrao Tasgaonkar College Of Engineering Management,Un-Aided,Mumbai University
3221,Vishnu Waman Thakur Charitable Trust S Viva Institute Of Technology Virar,Un-Aided,Mumbai University
3222,Haji Jamaluddin Thim Trust S Theem College Of Engineering At. Villege Betegaon Boisar,Un-Aided Religious Minority - Muslim,Mumbai University
3223,Mahatma Education Society S Pillai Hoc College Of Engineering Technology Tal. Khalapur. Dist. Raigad,Un-Aided Linguistic Minority - Malyalam,Mumbai University
3224,Leela Education Society G.V. Acharya Institute Of Engineering And Technology Shelu Karjat,Un-Aided,Mumbai University
3257,Vidya Prasarak Mandal S College Of Engineering Thane,Un-Aided,Mumbai University
3277,Pravin Rohidas Patil College Of Engineering Technology,Un-Aided,Mumbai University
3351,Bharat College Of Engineering Kanhor Badlapur(W),Un-Aided,Mumbai University
3353,Dilkap Research Institute Of Engineering And Management Studies At.Mamdapur Post- Neral Tal- Karjat Mumbai,Un-Aided,Mumbai University
3423,Shree L.R. Tiwari College Of Engineering Mira Road Mumbai,Un-Aided Linguistic Minority - Hindi,Mumbai University
3436,B.R. Harne College Of Engineering Technology Karav Tal-Ambernath.,Un-Aided,Mumbai University
3439,Anjuman-I-Islam S Kalsekar Technical Campus Panvel,Un-Aided Religious Minority - Muslim,Mumbai University
3440,Metropolitan Institute Of Technology Management Sukhalwad Sindhudurg.,Un-Aided,Mumbai University
3445,Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan) Atma Malik Institute Of Technology Research,Un-Aided,Mumbai University
3447,G.M.Vedak Institute Of Technology Tala Raigad.,Un-Aided,Mumbai University
3460,Universal College Of Engineering Kaman Dist. Palghar,Un-Aided Linguistic Minority - Gujarathi,Mumbai University
3462,Vpm S Maharshi Parshuram College Of Engineering Velneshwar Ratnagiri.,Un-Aided,Mumbai University
3465,Ideal Institute Of Technology Wada Dist.Thane,Un-Aided,Mumbai University
3467,Vishwaniketan S Institute Of Management Entrepreneurship And Engineering Technology(I Meet) Khalapur Dist Raigad,Un-Aided,Mumbai University
3470,Yashwantrao Bhonsale Institute Of Technology,Un-Aided,Mumbai University
